WP4,campaign,value,pu
736,1,0.005026890986752994,100736
737,1,0.022014071691497,100737
738,1,0.009465575328298883,100738
739,1,0.009465575328298883,100739
740,1,0.006507858268139669,100740
741,1,0.08519819794416963,100741
742,1,0.0017815960453677355,100742
743,1,0.0031318491133157595,100743
744,1,0.06236870585621917,100744
745,1,0.052038845824307685,100745
746,1,0.06218521986630059,100746
747,1,0.11332435633272635,100747
748,1,0.08947569646790914,100748
749,1,0.11707297066957881,100749
750,1,0.037452541500055406,100750
751,1,0.11042573892237847,100751
752,1,0.08164911538373516,100752
753,1,0.09925063498878171,100753
754,1,0.12595947025755697,100754
755,1,0.033703205464664876,100755
756,1,0.1322023334874277,100756
757,1,0.2155692529977038,100757
758,1,0.207532545732126,100758
759,1,0.15940662708775835,100759
760,1,0.034381649109174135,100760
761,1,0.2303061165699393,100761
762,1,0.30418889616827555,100762
763,1,0.37330709639956167,100763
764,1,0.37362145932572455,100764
765,1,0.38928013374307346,100765
766,1,0.3868973071971416,100766
767,1,0.3787944535019696,100767
768,1,0.42412008644100796,100768
769,1,0.4685673730583384,100769
770,1,0.3374640778880418,100770
771,1,0.36150679290730076,100771
772,1,0.3963821325104941,100772
773,1,0.38338700616082455,100773
774,1,0.5100808852046289,100774
775,1,0.31226262181114,100775
776,1,0.3512637185206336,100776
777,1,0.5441390573469568,100777
778,1,0.5138011733764384,100778
779,1,0.2858999750115176,100779
780,1,0.362738905756178,100780
781,1,0.3747679583122515,100781
782,1,0.5247513698223001,100782
783,1,0.4527402050391471,100783
784,1,0.13906537543419897,100784
785,1,0.3364516304401955,100785
786,1,0.20567632927440715,100786
787,1,0.4796059991300202,100787
788,1,0.16273670284454322,100788
789,1,0.4177830300485244,100789
790,1,0.5885361490603496,100790
791,1,0.853217877131452,100791
792,1,0.5973284452108363,100792
793,1,0.9681325170775893,100793
794,1,0.20080225979586436,100794
795,1,0.07569613395324919,100795
796,1,0.017229950622187913,100796
797,1,0.07335640795431683,100797
798,1,0.11085373675671373,100798
799,1,0.003328514757022214,100799
800,1,0.00726938156553979,100800
801,1,0.009052764769682819,100801
802,1,9.078309793129679e-4,100802
803,1,0.007971394441351568,100803
804,1,0.011409691473805737,100804
805,1,0.5315598541740177,100805
806,1,0.6457172791240244,100806
807,1,0.4813210011184739,100807
808,1,0.06571386167259874,100808
809,1,0.03963086032455767,100809
810,1,0.009102230492290335,100810
811,1,0.05569766520500465,100811
812,1,0.025587802568853714,100812
813,1,0.001402943315499939,100813
814,1,0.006351776496276901,100814
815,1,0.04556633604231557,100815
816,1,0.23026129174195425,100816
817,1,0.11863220974245668,100817
818,1,0.5243072796294614,100818
819,1,0.6514304208760859,100819
820,1,0.6482285588516861,100820
821,1,0.5686169340246031,100821
822,1,0.49691348286927484,100822
823,1,0.01579717877570033,100823
824,1,0,100824
825,1,0,100825
826,1,0.0020012952864880526,100826
827,1,0.0167795108894259,100827
828,1,0.002496918686201817,100828
829,1,0.269859912624608,100829
830,1,0.5887978358110769,100830
831,1,0.008072313963891872,100831
832,1,7.991096967797307e-4,100832
833,1,0.057417711712116175,100833
834,1,0.023900238973595507,100834
835,1,3.473522108375086e-4,100835
836,1,0.10170374326789312,100836
837,1,0.4343406239983047,100837
838,1,0.07005009877351362,100838
839,1,0.6301737492402176,100839
840,1,0.37056462486738434,100840
841,1,0.7230259892683213,100841
842,1,1,100842
843,1,0.5155789597871989,100843
844,1,0.43242898093650645,100844
845,1,0.14691768057041105,100845
846,1,0,100846
847,1,0.5190280967048907,100847
848,1,0.6517256192550444,100848
849,1,0.684294343208854,100849
850,1,0.3624977436338678,100850
851,1,0.021291465166888023,100851
852,1,1.400574285882295e-4,100852
853,1,0.06240226271625291,100853
854,1,0,100854
855,1,0.4294768220272515,100855
856,1,0.2801956770261591,100856
857,1,0.4011315468268341,100857
858,1,0.44028984739194343,100858
859,1,0.41965556815089633,100859
860,1,0.3459432038917507,100860
861,1,0.5026785356533667,100861
862,1,0.36197076811736384,100862
