WP4,campaign,value,pu
7401,1,0.0039365176917070645,107401
7227,1,0,107227
7228,1,0,107228
7229,1,0,107229
7230,1,0,107230
7231,1,0,107231
7232,1,0,107232
7233,1,0,107233
7234,1,0,107234
7235,1,0,107235
7236,1,0.005705586021620467,107236
7237,1,9.38842258135781e-4,107237
7238,1,0.0016681890480117801,107238
7239,1,0,107239
7240,1,0,107240
7241,1,0,107241
7242,1,0,107242
7243,1,0,107243
7244,1,0,107244
7245,1,0.0538336536205243,107245
7246,1,0.013553233087470425,107246
7247,1,0.04853934235029627,107247
7248,1,0.1580304171197615,107248
7249,1,0.013744582703134533,107249
7250,1,0.011316615288280442,107250
7251,1,0,107251
7252,1,0,107252
7253,1,0.0727416997003024,107253
7254,1,0.07565494709113912,107254
7255,1,0.015959968988583317,107255
7256,1,0.20704582232983057,107256
7257,1,0.07138023244145172,107257
7258,1,0.30185806179833496,107258
7259,1,0.7012347635084873,107259
7260,1,1,107260
7261,1,0.8727517367405397,107261
7262,1,0.013624682500864271,107262
7263,1,0.3687732842864957,107263
7264,1,0.4216176490100339,107264
7265,1,0.031950965698903655,107265
7266,1,0,107266
7267,1,0.07184937590842692,107267
7268,1,0.03108712291632396,107268
7269,1,4.858345904730443e-4,107269
7270,1,0.27206572217075414,107270
7271,1,0.03739318005527965,107271
7272,1,0.009947010564313052,107272
7273,1,0,107273
7274,1,0.019318672433435727,107274
7275,1,0.02035171579822259,107275
7276,1,0,107276
7277,1,0.04511759924528859,107277
7278,1,0.04312100175059332,107278
7279,1,0.02799419357109051,107279
7280,1,1.4632871723560165e-4,107280
7281,1,0.9818918591987656,107281
7282,1,0.0397107427345652,107282
7283,1,0.2920031064746519,107283
7284,1,0.3074227050432691,107284
7285,1,0.04788507368434393,107285
7286,1,0.17388547469369178,107286
7287,1,0.09595377093183984,107287
7288,1,0.29333200848161883,107288
7289,1,0.10961564096610367,107289
7290,1,0.3490826015358722,107290
7291,1,0.3133778579643346,107291
7292,1,0,107292
7293,1,0,107293
7294,1,0,107294
7295,1,0,107295
7296,1,5.087488638052781e-4,107296
7297,1,0,107297
7298,1,0,107298
7299,1,0,107299
7300,1,0,107300
7301,1,0,107301
7302,1,0,107302
7303,1,0,107303
7304,1,0,107304
7305,1,0,107305
7306,1,0,107306
7307,1,0,107307
7308,1,0,107308
7309,1,0,107309
7310,1,0,107310
7311,1,0,107311
7312,1,0,107312
7313,1,0,107313
7314,1,0,107314
7315,1,0,107315
7316,1,0,107316
7317,1,0,107317
7318,1,0,107318
7319,1,0,107319
7320,1,0,107320
7321,1,0,107321
7322,1,0,107322
7323,1,0,107323
7324,1,0,107324
7325,1,0,107325
7326,1,0,107326
7327,1,0,107327
7328,1,0,107328
7329,1,0,107329
7330,1,0,107330
7331,1,0,107331
7332,1,0,107332
7333,1,0,107333
7334,1,0,107334
7335,1,0,107335
7336,1,0,107336
7337,1,0,107337
7338,1,0,107338
7339,1,0,107339
7340,1,0,107340
7341,1,0,107341
7342,1,0,107342
7343,1,0,107343
7344,1,0,107344
7345,1,0,107345
7346,1,0,107346
7347,1,0,107347
7348,1,0,107348
7349,1,0,107349
7350,1,1.9048129816506227e-4,107350
7351,1,0,107351
7352,1,0,107352
7353,1,0,107353
7354,1,0,107354
7355,1,0,107355
7356,1,0,107356
7357,1,0,107357
7358,1,4.426588895734729e-5,107358
7359,1,0,107359
7401,2,0.0039365176917070645,207401
7227,2,0,207227
7228,2,0,207228
7229,2,0,207229
7230,2,0,207230
7231,2,0,207231
7232,2,0,207232
7233,2,0,207233
7234,2,0,207234
7235,2,0,207235
7236,2,0.005705586021620467,207236
7237,2,9.38842258135781e-4,207237
7238,2,0.0016681890480117801,207238
7239,2,0,207239
7240,2,0,207240
7241,2,0,207241
7242,2,0,207242
7243,2,0,207243
7244,2,0,207244
7245,2,0.0538336536205243,207245
7246,2,0.013553233087470425,207246
7247,2,0.04853934235029627,207247
7248,2,0.1580304171197615,207248
7249,2,0.013744582703134533,207249
7250,2,0.011316615288280442,207250
7251,2,0,207251
7252,2,0,207252
7253,2,0.0727416997003024,207253
7254,2,0.07565494709113912,207254
7255,2,0.015959968988583317,207255
7256,2,0.20704582232983057,207256
7257,2,0.07138023244145172,207257
7258,2,0.30185806179833496,207258
7259,2,0.7012347635084873,207259
7260,2,1,207260
7261,2,0.8727517367405397,207261
7262,2,0.013624682500864271,207262
7263,2,0.3687732842864957,207263
7264,2,0.4216176490100339,207264
7265,2,0.031950965698903655,207265
7266,2,0,207266
7267,2,0.07184937590842692,207267
7268,2,0.03108712291632396,207268
7269,2,4.858345904730443e-4,207269
7270,2,0.27206572217075414,207270
7271,2,0.03739318005527965,207271
7272,2,0.009947010564313052,207272
7273,2,0,207273
7274,2,0.019318672433435727,207274
7275,2,0.02035171579822259,207275
7276,2,0,207276
7277,2,0.04511759924528859,207277
7278,2,0.04312100175059332,207278
