WP4,campaign,value,pu
829,1,0,100829
830,1,0,100830
831,1,0,100831
832,1,0,100832
833,1,0,100833
834,1,0,100834
835,1,0,100835
836,1,0,100836
837,1,0,100837
838,1,0,100838
839,1,0,100839
840,1,0,100840
841,1,0,100841
842,1,0,100842
843,1,0,100843
844,1,0.5000453014180859,100844
845,1,0.001869061639613494,100845
846,1,0.0038380548018275167,100846
847,1,1.3457604992029313e-4,100847
848,1,1.279625630993703e-4,100848
849,1,4.658781856418337e-4,100849
850,1,0,100850
851,1,0.235901221498599,100851
852,1,0.07078609885241247,100852
853,1,0.1668711828740445,100853
854,1,0.7715296829293278,100854
855,1,0.0816032849785548,100855
856,1,0.32747864159491846,100856
857,1,0.1140227860220265,100857
859,1,0.07908903620023441,100859
860,1,0,100860
861,1,0,100861
862,1,0.16989579718787884,100862
863,1,0.0020525953033075067,100863
864,1,0,100864
865,1,0.002312000939011792,100865
866,1,0.1892649019415907,100866
867,1,0.011054837373709325,100867
868,1,0.048037970364306175,100868
869,1,0.02715314756614455,100869
870,1,0,100870
871,1,0.10514725354712719,100871
872,1,0.18807878025725583,100872
873,1,0.026179572505238984,100873
874,1,0.5601692577255295,100874
875,1,0.24184546746860833,100875
876,1,0.26477785884929594,100876
877,1,0.05807599158348867,100877
878,1,0.9093504069180318,100878
879,1,0.6763098394938619,100879
880,1,0.48113261650215916,100880
881,1,0.2292692321474123,100881
882,1,0.006476589377756911,100882
883,1,0.043508099777518,100883
884,1,0.23532780686485263,100884
885,1,0.014826021005868469,100885
886,1,0.0851122266400495,100886
887,1,0,100887
888,1,0.038697790884572376,100888
889,1,0.11412866977321566,100889
890,1,0.5749546817662079,100890
891,1,0.19229776242553176,100891
892,1,0.24727021007434102,100892
893,1,0.536089632568956,100893
894,1,0.5747187968554734,100894
895,1,0.4345358440333503,100895
896,1,0.2292367460603654,100896
897,1,0.30786510297860487,100897
898,1,0.4404941103449702,100898
899,1,1,100899
900,1,0.45478511325811055,100900
901,1,0.03694334556826414,100901
902,1,0.4569404896882932,100902
903,1,0.4426060586783744,100903
904,1,0.0581661488849036,100904
905,1,0.0730202814817578,100905
906,1,0.16039897053239685,100906
907,1,0.15401968466206015,100907
908,1,0.01882836661457948,100908
909,1,0.00903796787842188,100909
910,1,0.28310574392492144,100910
911,1,0.37342496790881313,100911
912,1,0.19144446170240498,100912
913,1,0.12673100492143466,100913
914,1,0.014674373615211195,100914
915,1,0.028753185464352498,100915
916,1,0.17309097101972426,100916
917,1,0.17178985136555727,100917
918,1,0.016040054943317443,100918
919,1,0,100919
920,1,0,100920
921,1,0,100921
922,1,1.6626046080510577e-4,100922
923,1,0.04712641788104415,100923
924,1,0.18205787338518456,100924
925,1,0.8853721417156554,100925
926,1,0.5993673033795248,100926
927,1,0.34413082056034655,100927
928,1,0.10738032998122597,100928
929,1,0,100929
930,1,0,100930
931,1,0,100931
932,1,0.008464917281444582,100932
933,1,0.03776788207862311,100933
934,1,0.0723291490242058,100934
935,1,0.01912080187608781,100935
936,1,0,100936
937,1,0,100937
938,1,0.09452419132641778,100938
939,1,0,100939
940,1,0,100940
941,1,0,100941
942,1,0,100942
943,1,0.005929774207954869,100943
944,1,0,100944
945,1,0,100945
946,1,0.020358436029684405,100946
947,1,0.0827508423310531,100947
948,1,0.017596863877637203,100948
949,1,0.011206891723934874,100949
950,1,0.11326233448079005,100950
951,1,6.77848378697913e-4,100951
952,1,0,100952
953,1,0,100953
954,1,0,100954
955,1,0,100955
956,1,0,100956
957,1,0.0018767429643745234,100957
958,1,0.07093736654171513,100958
959,1,4.064915515115777e-5,100959
960,1,0.107908458246528,100960
961,1,0.7572912107007114,100961
962,1,0.014235051358637398,100962
963,1,5.08236831865045e-4,100963
964,1,0.01662723851698383,100964
965,1,0.018136264176877154,100965
966,1,0,100966
967,1,0,100967
968,1,0,100968
969,1,0.14098393480853144,100969
970,1,0.13588487696768317,100970
971,1,0,100971
972,1,0,100972
973,1,0.057514182895364176,100973
974,1,0.2487964225683208,100974
975,1,0,100975
976,1,0,100976
977,1,0,100977
978,1,0,100978
979,1,0,100979
980,1,0,100980
981,1,0,100981
982,1,0,100982
983,1,0,100983
984,1,0,100984
985,1,0,100985
986,1,0,100986
987,1,0,100987
988,1,0,100988
989,1,0,100989
990,1,0.07330452746622314,100990
991,1,0.6066429018473369,100991
992,1,0.02571070863066894,100992
993,1,0.023599590937429006,100993
994,1,9.925092302005145e-5,100994
995,1,0.10113425090573985,100995
996,1,0.1153008609106539,100996
997,1,0.002964107227505816,100997
998,1,9.119791067015157e-4,100998
999,1,0.015569802526800076,100999
1000,1,0.13209457731770669,101000
1001,1,0.16917715734396482,101001
1002,1,0.011208361940182692,101002
1003,1,0.004758932826560213,101003
1004,1,0,101004
1005,1,0,101005
1006,1,0,101006
1007,1,0,101007
1008,1,0,101008
1009,1,0,101009
1010,1,0,101010
1011,1,0,101011
1012,1,0,101012
1013,1,0,101013
1014,1,0,101014
1015,1,0,101015
829,2,0,200829
830,2,0,200830
831,2,0,200831
832,2,0,200832
833,2,0,200833
834,2,0,200834
835,2,0,200835
836,2,0,200836
837,2,0,200837
838,2,0,200838
839,2,0,200839
840,2,0,200840
841,2,0,200841
842,2,0,200842
843,2,0,200843
844,2,0.5000453014180859,200844
845,2,0.001869061639613494,200845
846,2,0.0038380548018275167,200846
847,2,1.3457604992029313e-4,200847
848,2,1.279625630993703e-4,200848
849,2,4.658781856418337e-4,200849
850,2,0,200850
851,2,0.235901221498599,200851
852,2,0.07078609885241247,200852
853,2,0.1668711828740445,200853
854,2,0.7715296829293278,200854
855,2,0.0816032849785548,200855
856,2,0.32747864159491846,200856
857,2,0.1140227860220265,200857
859,2,0.07908903620023441,200859
860,2,0,200860
861,2,0,200861
862,2,0.16989579718787884,200862
863,2,0.0020525953033075067,200863
864,2,0,200864
865,2,0.002312000939011792,200865
866,2,0.1892649019415907,200866
867,2,0.011054837373709325,200867
868,2,0.048037970364306175,200868
869,2,0.02715314756614455,200869
870,2,0,200870
871,2,0.10514725354712719,200871
872,2,0.18807878025725583,200872
873,2,0.026179572505238984,200873
874,2,0.5601692577255295,200874
875,2,0.24184546746860833,200875
876,2,0.26477785884929594,200876
877,2,0.05807599158348867,200877
878,2,0.9093504069180318,200878
879,2,0.6763098394938619,200879
880,2,0.48113261650215916,200880
881,2,0.2292692321474123,200881
882,2,0.006476589377756911,200882
883,2,0.043508099777518,200883
884,2,0.23532780686485263,200884
885,2,0.014826021005868469,200885
886,2,0.0851122266400495,200886
887,2,0,200887
888,2,0.038697790884572376,200888
889,2,0.11412866977321566,200889
890,2,0.5749546817662079,200890
891,2,0.19229776242553176,200891
892,2,0.24727021007434102,200892
893,2,0.536089632568956,200893
894,2,0.5747187968554734,200894
895,2,0.4345358440333503,200895
896,2,0.2292367460603654,200896
897,2,0.30786510297860487,200897
898,2,0.4404941103449702,200898
899,2,1,200899
900,2,0.45478511325811055,200900
901,2,0.03694334556826414,200901
902,2,0.4569404896882932,200902
903,2,0.4426060586783744,200903
904,2,0.0581661488849036,200904
905,2,0.0730202814817578,200905
906,2,0.16039897053239685,200906
907,2,0.15401968466206015,200907
908,2,0.01882836661457948,200908
909,2,0.00903796787842188,200909
910,2,0.28310574392492144,200910
911,2,0.37342496790881313,200911
912,2,0.19144446170240498,200912
913,2,0.12673100492143466,200913
914,2,0.014674373615211195,200914
915,2,0.028753185464352498,200915
916,2,0.17309097101972426,200916
917,2,0.17178985136555727,200917
918,2,0.016040054943317443,200918
919,2,0,200919
920,2,0,200920
921,2,0,200921
922,2,1.6626046080510577e-4,200922
923,2,0.04712641788104415,200923
924,2,0.18205787338518456,200924
925,2,0.8853721417156554,200925
926,2,0.5993673033795248,200926
927,2,0.34413082056034655,200927
928,2,0.10738032998122597,200928
929,2,0,200929
930,2,0,200930
931,2,0,200931
932,2,0.008464917281444582,200932
933,2,0.03776788207862311,200933
934,2,0.0723291490242058,200934
935,2,0.01912080187608781,200935
936,2,0,200936
937,2,0,200937
938,2,0.09452419132641778,200938
939,2,0,200939
940,2,0,200940
941,2,0,200941
942,2,0,200942
943,2,0.005929774207954869,200943
944,2,0,200944
945,2,0,200945
946,2,0.020358436029684405,200946
947,2,0.0827508423310531,200947
948,2,0.017596863877637203,200948
949,2,0.011206891723934874,200949
950,2,0.11326233448079005,200950
951,2,6.77848378697913e-4,200951
952,2,0,200952
953,2,0,200953
954,2,0,200954
955,2,0,200955
956,2,0,200956
957,2,0.0018767429643745234,200957
958,2,0.07093736654171513,200958
959,2,4.064915515115777e-5,200959
960,2,0.107908458246528,200960
961,2,0.7572912107007114,200961
962,2,0.014235051358637398,200962
963,2,5.08236831865045e-4,200963
964,2,0.01662723851698383,200964
965,2,0.018136264176877154,200965
966,2,0,200966
967,2,0,200967
968,2,0,200968
969,2,0.14098393480853144,200969
970,2,0.13588487696768317,200970
971,2,0,200971
972,2,0,200972
973,2,0.057514182895364176,200973
974,2,0.2487964225683208,200974
975,2,0,200975
976,2,0,200976
977,2,0,200977
978,2,0,200978
979,2,0,200979
980,2,0,200980
981,2,0,200981
982,2,0,200982
983,2,0,200983
984,2,0,200984
985,2,0,200985
986,2,0,200986
987,2,0,200987
988,2,0,200988
989,2,0,200989
990,2,0.07330452746622314,200990
991,2,0.6066429018473369,200991
992,2,0.02571070863066894,200992
993,2,0.023599590937429006,200993
994,2,9.925092302005145e-5,200994
995,2,0.10113425090573985,200995
996,2,0.1153008609106539,200996
997,2,0.002964107227505816,200997
998,2,9.119791067015157e-4,200998
999,2,0.015569802526800076,200999
1000,2,0.13209457731770669,201000
1001,2,0.16917715734396482,201001
1002,2,0.011208361940182692,201002
1003,2,0.004758932826560213,201003
1004,2,0,201004
1005,2,0,201005
1006,2,0,201006
1007,2,0,201007
1008,2,0,201008
1009,2,0,201009
1010,2,0,201010
1011,2,0,201011
1012,2,0,201012
1013,2,0,201013
1014,2,0,201014
1015,2,0,201015
829,3,0,300829
830,3,0,300830
831,3,0,300831
832,3,0,300832
833,3,0,300833
834,3,0,300834
835,3,0,300835
836,3,0,300836
837,3,0,300837
838,3,0,300838
839,3,0,300839
840,3,0,300840
841,3,0,300841
842,3,0,300842
843,3,0,300843
844,3,0.5000453014180859,300844
845,3,0.001869061639613494,300845
846,3,0.0038380548018275167,300846
847,3,1.3457604992029313e-4,300847
848,3,1.279625630993703e-4,300848
849,3,4.658781856418337e-4,300849
850,3,0,300850
851,3,0.235901221498599,300851
852,3,0.07078609885241247,300852
853,3,0.1668711828740445,300853
854,3,0.7715296829293278,300854
855,3,0.0816032849785548,300855
856,3,0.32747864159491846,300856
857,3,0.1140227860220265,300857
859,3,0.07908903620023441,300859
860,3,0,300860
861,3,0,300861
862,3,0.16989579718787884,300862
863,3,0.0020525953033075067,300863
864,3,0,300864
865,3,0.002312000939011792,300865
866,3,0.1892649019415907,300866
867,3,0.011054837373709325,300867
868,3,0.048037970364306175,300868
869,3,0.02715314756614455,300869
870,3,0,300870
871,3,0.10514725354712719,300871
872,3,0.18807878025725583,300872
873,3,0.026179572505238984,300873
874,3,0.5601692577255295,300874
875,3,0.24184546746860833,300875
876,3,0.26477785884929594,300876
877,3,0.05807599158348867,300877
878,3,0.9093504069180318,300878
879,3,0.6763098394938619,300879
880,3,0.48113261650215916,300880
881,3,0.2292692321474123,300881
882,3,0.006476589377756911,300882
883,3,0.043508099777518,300883
884,3,0.23532780686485263,300884
885,3,0.014826021005868469,300885
886,3,0.0851122266400495,300886
887,3,0,300887
888,3,0.038697790884572376,300888
889,3,0.11412866977321566,300889
890,3,0.5749546817662079,300890
891,3,0.19229776242553176,300891
892,3,0.24727021007434102,300892
893,3,0.536089632568956,300893
894,3,0.5747187968554734,300894
895,3,0.4345358440333503,300895
896,3,0.2292367460603654,300896
897,3,0.30786510297860487,300897
898,3,0.4404941103449702,300898
899,3,1,300899
900,3,0.45478511325811055,300900
901,3,0.03694334556826414,300901
902,3,0.4569404896882932,300902
903,3,0.4426060586783744,300903
904,3,0.0581661488849036,300904
905,3,0.0730202814817578,300905
906,3,0.16039897053239685,300906
907,3,0.15401968466206015,300907
908,3,0.01882836661457948,300908
909,3,0.00903796787842188,300909
910,3,0.28310574392492144,300910
911,3,0.37342496790881313,300911
912,3,0.19144446170240498,300912
913,3,0.12673100492143466,300913
914,3,0.014674373615211195,300914
915,3,0.028753185464352498,300915
916,3,0.17309097101972426,300916
917,3,0.17178985136555727,300917
918,3,0.016040054943317443,300918
919,3,0,300919
920,3,0,300920
921,3,0,300921
922,3,1.6626046080510577e-4,300922
923,3,0.04712641788104415,300923
924,3,0.18205787338518456,300924
925,3,0.8853721417156554,300925
926,3,0.5993673033795248,300926
927,3,0.34413082056034655,300927
928,3,0.10738032998122597,300928
929,3,0,300929
930,3,0,300930
931,3,0,300931
932,3,0.008464917281444582,300932
933,3,0.03776788207862311,300933
934,3,0.0723291490242058,300934
935,3,0.01912080187608781,300935
936,3,0,300936
937,3,0,300937
938,3,0.09452419132641778,300938
939,3,0,300939
940,3,0,300940
941,3,0,300941
942,3,0,300942
943,3,0.005929774207954869,300943
944,3,0,300944
945,3,0,300945
946,3,0.020358436029684405,300946
947,3,0.0827508423310531,300947
948,3,0.017596863877637203,300948
949,3,0.011206891723934874,300949
950,3,0.11326233448079005,300950
951,3,6.77848378697913e-4,300951
952,3,0,300952
953,3,0,300953
954,3,0,300954
955,3,0,300955
956,3,0,300956
957,3,0.0018767429643745234,300957
958,3,0.07093736654171513,300958
959,3,4.064915515115777e-5,300959
960,3,0.107908458246528,300960
961,3,0.7572912107007114,300961
962,3,0.014235051358637398,300962
963,3,5.08236831865045e-4,300963
964,3,0.01662723851698383,300964
965,3,0.018136264176877154,300965
966,3,0,300966
967,3,0,300967
968,3,0,300968
969,3,0.14098393480853144,300969
970,3,0.13588487696768317,300970
971,3,0,300971
972,3,0,300972
973,3,0.057514182895364176,300973
974,3,0.2487964225683208,300974
975,3,0,300975
976,3,0,300976
977,3,0,300977
978,3,0,300978
979,3,0,300979
980,3,0,300980
981,3,0,300981
982,3,0,300982
983,3,0,300983
984,3,0,300984
985,3,0,300985
986,3,0,300986
987,3,0,300987
988,3,0,300988
989,3,0,300989
990,3,0.07330452746622314,300990
991,3,0.6066429018473369,300991
992,3,0.02571070863066894,300992
993,3,0.023599590937429006,300993
994,3,9.925092302005145e-5,300994
995,3,0.10113425090573985,300995
996,3,0.1153008609106539,300996
997,3,0.002964107227505816,300997
998,3,9.119791067015157e-4,300998
999,3,0.015569802526800076,300999
1000,3,0.13209457731770669,301000
1001,3,0.16917715734396482,301001
1002,3,0.011208361940182692,301002
1003,3,0.004758932826560213,301003
1004,3,0,301004
1005,3,0,301005
1006,3,0,301006
1007,3,0,301007
1008,3,0,301008
1009,3,0,301009
1010,3,0,301010
1011,3,0,301011
1012,3,0,301012
1013,3,0,301013
1014,3,0,301014
1015,3,0,301015
829,4,0,400829
830,4,0,400830
831,4,0,400831
