WP4,campaign,value,pu
1671,1,0,101671
1672,1,0.47928994082840237,101672
1673,1,0.47928994082840237,101673
1674,1,0.47928994082840237,101674
1675,1,0.47928994082840237,101675
1676,1,0.47928994082840237,101676
1677,1,0.45822485207100594,101677
1678,1,0.47928994082840237,101678
1679,1,0.47928994082840237,101679
1680,1,0.47928994082840237,101680
1681,1,0.4376331360946746,101681
1682,1,0.4376331360946746,101682
1683,1,0.4376331360946746,101683
1684,1,0.4376331360946746,101684
1685,1,0.45822485207100594,101685
1686,1,0.45822485207100594,101686
1687,1,0.45822485207100594,101687
1688,1,0.45822485207100594,101688
1689,1,0.4376331360946746,101689
1690,1,0.4376331360946746,101690
1691,1,0.45822485207100594,101691
1692,1,0.45822485207100594,101692
1693,1,0.45822485207100594,101693
1694,1,0.4376331360946746,101694
1695,1,0.4376331360946746,101695
1696,1,0.4376331360946746,101696
1697,1,0.4376331360946746,101697
1698,1,0.4175147928994083,101698
1699,1,0.3067455621301775,101699
1700,1,0.36,101700
1701,1,0.32402366863905324,101701
1702,1,0.3067455621301775,101702
1703,1,0.3067455621301775,101703
1704,1,0.32402366863905324,101704
1705,1,0.32402366863905324,101705
1706,1,0.3417751479289941,101706
1707,1,0.28994082840236685,101707
1708,1,0.36,101708
1709,1,0.3417751479289941,101709
1710,1,0.2736094674556213,101710
1711,1,0.4376331360946746,101711
1712,1,0.64,101712
1713,1,0.64,101713
1714,1,0.3417751479289941,101714
1715,1,0.12520710059171597,101715
1716,1,0.14792899408284024,101716
1717,1,0.14792899408284024,101717
1718,1,0.04,101718
1719,1,0.5453254437869822,101719
1720,1,0.32402366863905324,101720
1721,1,0.09467455621301775,101721
1722,1,0.16,101722
1723,1,0.21301775147928995,101723
1724,1,0.1855621301775148,101724
1725,1,0.3067455621301775,101725
1726,1,0.2736094674556213,101726
1727,1,0.5008284023668639,101727
1728,1,0.378698224852071,101728
1729,1,0.378698224852071,101729
1730,1,0.378698224852071,101730
1731,1,0.5682840236686391,101731
1732,1,0.1990532544378698,101732
1733,1,0.5008284023668639,101733
1734,1,0.3417751479289941,101734
1735,1,0.3978698224852071,101735
1736,1,0.45822485207100594,101736
1737,1,0.591715976331361,101737
1738,1,0.3417751479289941,101738
1740,1,0.3067455621301775,101740
1741,1,0.13633136094674556,101741
1742,1,0.13633136094674556,101742
1743,1,0.13633136094674556,101743
1744,1,0.13633136094674556,101744
1745,1,0.13633136094674556,101745
1746,1,0.13633136094674556,101746
1747,1,0.13633136094674556,101747
1748,1,0.45822485207100594,101748
1749,1,0.45822485207100594,101749
1750,1,0.21301775147928995,101750
1751,1,0.22745562130177516,101751
1752,1,0.06840236686390533,101752
1753,1,0.45822485207100594,101753
1754,1,0.45822485207100594,101754
1755,1,0.45822485207100594,101755
1756,1,0.4376331360946746,101756
1757,1,0.615621301775148,101757
1758,1,0.615621301775148,101758
1759,1,0.615621301775148,101759
1760,1,0.615621301775148,101760
1761,1,0.3417751479289941,101761
1762,1,0.3417751479289941,101762
1763,1,0.3417751479289941,101763
1764,1,0.3417751479289941,101764
1765,1,0.3417751479289941,101765
1766,1,0.3417751479289941,101766
1767,1,0.3417751479289941,101767
1770,1,0.21301775147928995,101770
1771,1,0.21301775147928995,101771
1772,1,0.13633136094674556,101772
1773,1,0,101773
1774,1,0,101774
1775,1,0.47928994082840237,101775
1776,1,0.5008284023668639,101776
1777,1,0.45822485207100594,101777
1778,1,0.45822485207100594,101778
1779,1,0.3067455621301775,101779
1780,1,0.3067455621301775,101780
1781,1,0.3067455621301775,101781
1782,1,0.3067455621301775,101782
1783,1,0.3067455621301775,101783
1784,1,0.3067455621301775,101784
1785,1,0.36,101785
1786,1,0.22745562130177516,101786
1787,1,0.17254437869822487,101787
1788,1,0.17254437869822487,101788
1789,1,0.17254437869822487,101789
1790,1,0.32402366863905324,101790
1791,1,0.32402366863905324,101791
1792,1,0.32402366863905324,101792
1793,1,0.32402366863905324,101793
1794,1,0.32402366863905324,101794
1795,1,0.32402366863905324,101795
1796,1,0.32402366863905324,101796
1797,1,0.5008284023668639,101797
1798,1,0.3978698224852071,101798
1799,1,0.3978698224852071,101799
1800,1,0.3978698224852071,101800
1801,1,0.3978698224852071,101801
1802,1,0.3417751479289941,101802
1803,1,0.24236686390532544,101803
1804,1,0.45822485207100594,101804
1805,1,0.4376331360946746,101805
1806,1,0.5008284023668639,101806
1807,1,0.47928994082840237,101807
1808,1,0.47928994082840237,101808
1809,1,0.47928994082840237,101809
1810,1,0.5453254437869822,101810
1811,1,0.28994082840236685,101811
1812,1,0.47928994082840237,101812
1813,1,0.47928994082840237,101813
1814,1,0.615621301775148,101814
1815,1,0.615621301775148,101815
1816,1,0.9394082840236686,101816
1817,1,0.591715976331361,101817
1818,1,0,101818
1819,1,0.9394082840236686,101819
1820,1,0.1990532544378698,101820
1821,1,0.591715976331361,101821
1822,1,0.591715976331361,101822
1823,1,0.591715976331361,101823
1824,1,0,101824
1825,1,0.17254437869822487,101825
1826,1,0.17254437869822487,101826
1827,1,0.5008284023668639,101827
1828,1,0.28994082840236685,101828
1829,1,0.7689940828402367,101829
1830,1,0.05325443786982249,101830
1831,1,0.3978698224852071,101831
1832,1,0.17254437869822487,101832
1833,1,0.25775147928994085,101833
1834,1,0.3067455621301775,101834
1835,1,0,101835
1836,1,0.16,101836
1837,1,0.4175147928994083,101837
1838,1,0.17254437869822487,101838
1839,1,0.28994082840236685,101839
1840,1,0.5008284023668639,101840
1841,1,0.4376331360946746,101841
1842,1,0.8520710059171598,101842
1843,1,0,101843
1844,1,0,101844
1845,1,0,101845
1846,1,0.32402366863905324,101846
1847,1,0.32402366863905324,101847
1848,1,0.21301775147928995,101848
1849,1,0.32402366863905324,101849
1850,1,0.32402366863905324,101850
1851,1,0,101851
1852,1,0,101852
1853,1,0.3067455621301775,101853
1854,1,0.5228402366863906,101854
1855,1,0.08544378698224853,101855
1856,1,0.4376331360946746,101856
1857,1,0.4376331360946746,101857
1858,1,0.4376331360946746,101858
1859,1,0.4376331360946746,101859
1860,1,0.4376331360946746,101860
1861,1,0.4376331360946746,101861
1862,1,0.4376331360946746,101862
1863,1,0.4376331360946746,101863
1864,1,0.4376331360946746,101864
1865,1,0.4175147928994083,101865
1866,1,0.4175147928994083,101866
1867,1,0.4175147928994083,101867
1868,1,0.45822485207100594,101868
1869,1,0.4376331360946746,101869
1870,1,0.45822485207100594,101870
1871,1,0.4175147928994083,101871
1872,1,0.4175147928994083,101872
1873,1,0.45822485207100594,101873
1874,1,0.5228402366863906,101874
1875,1,0.5228402366863906,101875
1876,1,0.4175147928994083,101876
1877,1,0.4175147928994083,101877
1878,1,0.2736094674556213,101878
1879,1,0.45822485207100594,101879
1880,1,0.32402366863905324,101880
1881,1,0.32402366863905324,101881
1882,1,0.24236686390532544,101882
1883,1,0.4376331360946746,101883
1884,1,0.4376331360946746,101884
1885,1,0.32402366863905324,101885
1886,1,0.32402366863905324,101886
1887,1,0.32402366863905324,101887
1894,1,0.24236686390532544,101894
1895,1,0.24236686390532544,101895
1896,1,0.24236686390532544,101896
1897,1,0.24236686390532544,101897
1898,1,0.24236686390532544,101898
1899,1,0.24236686390532544,101899
1903,1,0.47928994082840237,101903
1904,1,0.47928994082840237,101904
1905,1,0.28994082840236685,101905
1906,1,0.28994082840236685,101906
1907,1,0.5453254437869822,101907
1908,1,0.591715976331361,101908
1909,1,0.591715976331361,101909
1910,1,0.5228402366863906,101910
1911,1,0.47928994082840237,101911
1912,1,0,101912
1913,1,0.5008284023668639,101913
1914,1,0.5008284023668639,101914
1915,1,0.5008284023668639,101915
1916,1,0.5008284023668639,101916
1918,1,0,101918
1919,1,0.5682840236686391,101919
1920,1,0.5682840236686391,101920
1921,1,0.5682840236686391,101921
1922,1,0.5682840236686391,101922
1923,1,0.5682840236686391,101923
1924,1,0.5682840236686391,101924
1925,1,0.5682840236686391,101925
1931,1,0,101931
1932,1,0.823905325443787,101932
1934,1,0.64,101934
1935,1,0.36,101935
1936,1,0.378698224852071,101936
1937,1,0.36,101937
1938,1,0.36,101938
1939,1,0.36,101939
1940,1,0.36,101940
1945,1,0.64,101945
1946,1,0.64,101946
1947,1,0.64,101947
1948,1,0.4175147928994083,101948
1949,1,0.4175147928994083,101949
1950,1,0.3978698224852071,101950
1951,1,0.591715976331361,101951
1952,1,0.22745562130177516,101952
1953,1,0.45822485207100594,101953
1954,1,0.45822485207100594,101954
1955,1,0.47928994082840237,101955
1956,1,0.47928994082840237,101956
1957,1,0.4175147928994083,101957
1958,1,0.4376331360946746,101958
1959,1,0.4376331360946746,101959
1960,1,0.4376331360946746,101960
1961,1,0.4376331360946746,101961
1962,1,0.4376331360946746,101962
1963,1,0.4376331360946746,101963
1964,1,0.4376331360946746,101964
1965,1,0.4376331360946746,101965
1966,1,0.4376331360946746,101966
1972,1,0.4175147928994083,101972
1973,1,0.4175147928994083,101973
1974,1,0.3067455621301775,101974
1975,1,1,101975
1976,1,0.2736094674556213,101976
1977,1,0.5008284023668639,101977
1978,1,0.5453254437869822,101978
1979,1,0.5453254437869822,101979
1980,1,0.5682840236686391,101980
1981,1,0.5682840236686391,101981
1982,1,0.5682840236686391,101982
1983,1,0.591715976331361,101983
1984,1,0.591715976331361,101984
1985,1,0.591715976331361,101985
1986,1,0.591715976331361,101986
1988,1,0.615621301775148,101988
1989,1,0.615621301775148,101989
1990,1,0.615621301775148,101990
1991,1,0.615621301775148,101991
1992,1,0.615621301775148,101992
1993,1,0.5008284023668639,101993
1994,1,0.64,101994
1995,1,0.5453254437869822,101995
1996,1,0.5008284023668639,101996
1997,1,0.5008284023668639,101997
1998,1,0.5008284023668639,101998
1999,1,0.5008284023668639,101999
2000,1,0.591715976331361,102000
2001,1,0.5682840236686391,102001
2002,1,0.9098224852071006,102002
2003,1,0.5453254437869822,102003
2004,1,0.378698224852071,102004
2005,1,0.45822485207100594,102005
2006,1,0.615621301775148,102006
2007,1,0.591715976331361,102007
2008,1,0.6648520710059171,102008
2009,1,0.6648520710059171,102009
2010,1,0.6648520710059171,102010
2011,1,0.24236686390532544,102011
2012,1,0,102012
2013,1,0.45822485207100594,102013
2014,1,0.378698224852071,102014
2015,1,0.5682840236686391,102015
2016,1,0.5682840236686391,102016
2017,1,0.5682840236686391,102017
2018,1,0.4376331360946746,102018
2019,1,0.4376331360946746,102019
2020,1,0.5453254437869822,102020
2021,1,0.5453254437869822,102021
2022,1,0.5453254437869822,102022
2023,1,0.5453254437869822,102023
2024,1,0.5228402366863906,102024
2025,1,0.823905325443787,102025
2026,1,0.3067455621301775,102026
2027,1,0.3067455621301775,102027
2028,1,0.3067455621301775,102028
2037,1,0.823905325443787,102037
2038,1,0.5228402366863906,102038
2039,1,0.5228402366863906,102039
2040,1,0.5228402366863906,102040
2044,1,0.32402366863905324,102044
2047,1,0.5682840236686391,102047
2048,1,0.3067455621301775,102048
2049,1,0,102049
2050,1,0.4376331360946746,102050
2051,1,0.4376331360946746,102051
2052,1,0.4376331360946746,102052
2053,1,0.4376331360946746,102053
2054,1,0.3978698224852071,102054
2055,1,0.3978698224852071,102055
2056,1,0.378698224852071,102056
2057,1,0.36,102057
2058,1,0.36,102058
2059,1,0.36,102059
2060,1,0.3978698224852071,102060
2061,1,0.45822485207100594,102061
2062,1,0.4376331360946746,102062
2063,1,0.4376331360946746,102063
2064,1,0.4376331360946746,102064
2065,1,0.4376331360946746,102065
2066,1,0.4376331360946746,102066
2067,1,0.4376331360946746,102067
2068,1,0.45822485207100594,102068
2069,1,0.45822485207100594,102069
2070,1,0.45822485207100594,102070
2071,1,0.4376331360946746,102071
2072,1,0.4376331360946746,102072
2073,1,0.4376331360946746,102073
2074,1,0.4376331360946746,102074
2075,1,0.4376331360946746,102075
2076,1,0.4175147928994083,102076
2077,1,0.4175147928994083,102077
2083,1,0.47928994082840237,102083
2084,1,0.4376331360946746,102084
2085,1,0.4376331360946746,102085
2088,1,0.45822485207100594,102088
2089,1,0.45822485207100594,102089
2090,1,0.45822485207100594,102090
2091,1,0.45822485207100594,102091
2092,1,0.45822485207100594,102092
2093,1,0.45822485207100594,102093
2094,1,0.45822485207100594,102094
2097,1,0.32402366863905324,102097
2098,1,0.32402366863905324,102098
2099,1,0.32402366863905324,102099
2100,1,0.32402366863905324,102100
2101,1,0.378698224852071,102101
2102,1,0.378698224852071,102102
2103,1,0.378698224852071,102103
2104,1,0.378698224852071,102104
2105,1,0.378698224852071,102105
2106,1,0.378698224852071,102106
2107,1,0.378698224852071,102107
2108,1,0.378698224852071,102108
2109,1,0.45822485207100594,102109
2110,1,0.45822485207100594,102110
2111,1,0.45822485207100594,102111
2122,1,0.32402366863905324,102122
2123,1,0.32402366863905324,102123
2124,1,0.32402366863905324,102124
2127,1,0.32402366863905324,102127
2128,1,0.32402366863905324,102128
2129,1,0.32402366863905324,102129
2130,1,0.4376331360946746,102130
2131,1,0.4376331360946746,102131
2132,1,0.4376331360946746,102132
2133,1,0.4376331360946746,102133
2134,1,0.4376331360946746,102134
2136,1,0.25775147928994085,102136
2146,1,0.378698224852071,102146
2147,1,0.378698224852071,102147
2148,1,0.4175147928994083,102148
2149,1,0.36,102149
2150,1,0.36,102150
2151,1,0.3417751479289941,102151
2152,1,0.3417751479289941,102152
2153,1,0.3417751479289941,102153
2165,1,0.591715976331361,102165
2166,1,0.591715976331361,102166
2167,1,0.7962130177514792,102167
2170,1,0.47928994082840237,102170
2171,1,0.47928994082840237,102171
2172,1,0.47928994082840237,102172
2174,1,0,102174
2175,1,0.36,102175
2176,1,0.36,102176
2177,1,0.36,102177
2185,1,0.45822485207100594,102185
2186,1,0.21301775147928995,102186
2187,1,0.21301775147928995,102187
2188,1,0.21301775147928995,102188
2189,1,0.5228402366863906,102189
2190,1,0.5228402366863906,102190
2191,1,0.4376331360946746,102191
2192,1,0.4376331360946746,102192
2193,1,0.4376331360946746,102193
2194,1,0.5228402366863906,102194
2195,1,0.5228402366863906,102195
2196,1,0.5228402366863906,102196
2197,1,0.5228402366863906,102197
2201,1,0,102201
2202,1,0,102202
2203,1,0.21301775147928995,102203
2204,1,0.1990532544378698,102204
2206,1,0.5008284023668639,102206
2207,1,0.47928994082840237,102207
2208,1,0.47928994082840237,102208
2209,1,0.47928994082840237,102209
2210,1,0.47928994082840237,102210
2212,1,0.45822485207100594,102212
2213,1,0.45822485207100594,102213
2216,1,0.5453254437869822,102216
2217,1,0.5228402366863906,102217
2218,1,0.5228402366863906,102218
2219,1,0.5228402366863906,102219
2220,1,0.5453254437869822,102220
2221,1,0.32402366863905324,102221
2222,1,0.3067455621301775,102222
2223,1,0.2736094674556213,102223
2224,1,0.2736094674556213,102224
2227,1,0.22745562130177516,102227
2228,1,0.21301775147928995,102228
2229,1,0.21301775147928995,102229
2230,1,0.21301775147928995,102230
2231,1,0.47928994082840237,102231
2232,1,0.36,102232
2233,1,0.7422485207100592,102233
2234,1,0.5453254437869822,102234
2235,1,0.5682840236686391,102235
2236,1,0.21301775147928995,102236
2237,1,0.3417751479289941,102237
2238,1,0.45822485207100594,102238
2239,1,0.45822485207100594,102239
2240,1,0.45822485207100594,102240
2241,1,0.45822485207100594,102241
2242,1,0.3978698224852071,102242
2243,1,0.47928994082840237,102243
2244,1,0.47928994082840237,102244
2245,1,0.47928994082840237,102245
2246,1,0.47928994082840237,102246
2247,1,0.47928994082840237,102247
2248,1,0.47928994082840237,102248
2249,1,0.47928994082840237,102249
2250,1,0.47928994082840237,102250
2252,1,0.3067455621301775,102252
2253,1,0.17254437869822487,102253
2254,1,0.64,102254
2255,1,0.45822485207100594,102255
2256,1,0.4175147928994083,102256
2257,1,0.4175147928994083,102257
2258,1,0.4175147928994083,102258
2259,1,0.4175147928994083,102259
2260,1,0.4175147928994083,102260
2262,1,0.17254437869822487,102262
2263,1,0.7422485207100592,102263
1671,2,0,201671
1672,2,0.47928994082840237,201672
1673,2,0.47928994082840237,201673
1674,2,0.47928994082840237,201674
1675,2,0.47928994082840237,201675
1676,2,0.47928994082840237,201676
1677,2,0.45822485207100594,201677
1678,2,0.47928994082840237,201678
1679,2,0.47928994082840237,201679
1680,2,0.47928994082840237,201680
1681,2,0.4376331360946746,201681
1682,2,0.4376331360946746,201682
1683,2,0.4376331360946746,201683
1684,2,0.4376331360946746,201684
1685,2,0.45822485207100594,201685
1686,2,0.45822485207100594,201686
1687,2,0.45822485207100594,201687
1688,2,0.45822485207100594,201688
1689,2,0.4376331360946746,201689
1690,2,0.4376331360946746,201690
1691,2,0.45822485207100594,201691
1692,2,0.45822485207100594,201692
1693,2,0.45822485207100594,201693
1694,2,0.4376331360946746,201694
1695,2,0.4376331360946746,201695
1696,2,0.4376331360946746,201696
1697,2,0.4376331360946746,201697
1698,2,0.4175147928994083,201698
1699,2,0.3067455621301775,201699
1700,2,0.36,201700
1701,2,0.32402366863905324,201701
1702,2,0.3067455621301775,201702
1703,2,0.3067455621301775,201703
1704,2,0.32402366863905324,201704
1705,2,0.32402366863905324,201705
1706,2,0.3417751479289941,201706
1707,2,0.28994082840236685,201707
1708,2,0.36,201708
1709,2,0.3417751479289941,201709
1710,2,0.2736094674556213,201710
1711,2,0.4376331360946746,201711
1712,2,0.64,201712
1713,2,0.64,201713
1714,2,0.3417751479289941,201714
1715,2,0.12520710059171597,201715
1716,2,0.14792899408284024,201716
1717,2,0.14792899408284024,201717
1718,2,0.04,201718
1719,2,0.5453254437869822,201719
1720,2,0.32402366863905324,201720
1721,2,0.09467455621301775,201721
1722,2,0.16,201722
1723,2,0.21301775147928995,201723
1724,2,0.1855621301775148,201724
1725,2,0.3067455621301775,201725
1726,2,0.2736094674556213,201726
1727,2,0.5008284023668639,201727
1728,2,0.378698224852071,201728
1729,2,0.378698224852071,201729
1730,2,0.378698224852071,201730
1731,2,0.5682840236686391,201731
1732,2,0.1990532544378698,201732
1733,2,0.5008284023668639,201733
1734,2,0.3417751479289941,201734
1735,2,0.3978698224852071,201735
1736,2,0.45822485207100594,201736
1737,2,0.591715976331361,201737
1738,2,0.3417751479289941,201738
1740,2,0.3067455621301775,201740
1741,2,0.13633136094674556,201741
1742,2,0.13633136094674556,201742
1743,2,0.13633136094674556,201743
1744,2,0.13633136094674556,201744
1745,2,0.13633136094674556,201745
1746,2,0.13633136094674556,201746
1747,2,0.13633136094674556,201747
1748,2,0.45822485207100594,201748
1749,2,0.45822485207100594,201749
1750,2,0.21301775147928995,201750
1751,2,0.22745562130177516,201751
1752,2,0.06840236686390533,201752
